Date,Winner,WinnerScore,Loser,LoserScore,,,,,
11/8/2024,@Washington St,91,Bradley,74,,,,,
11/8/2024,@Valparaiso,111,Concordia MI,46,,,,,
11/8/2024,@Villanova,91,NJIT,54,,,,,
11/8/2024,St Thomas MN,90,@WI Green Bay,76,,,,,
11/8/2024,@IL Chicago,91,Yale,79,,,,,
11/8/2024,@Incarnate Word,97,SW Univ TX,53,,,,,
11/8/2024,@UCF,75,PFW,68,,,,,
11/8/2024,@Penn St,103,UMBC,54,,,,,
11/8/2024,@Texas A&M,87,East Texas A&M,55,,,,,
11/8/2024,@South Carolina,86,S Carolina St,64,,,,,
11/8/2024,@Mississippi,66,Grambling,64,,,,,
11/8/2024,@Texas Tech,86,Northwestern LA,65,,,,,
11/9/2024,@Longwood,84,Morgan St,66,,,,,
11/9/2024,@SUNY Albany,89,SUNY Oneonta,69,,,,,
11/9/2024,@Columbia,83,Delaware St,62,,,,,
11/9/2024,@Elon,103,Bluefield Univ,66,,,,,
11/9/2024,@Arizona,102,Old Dominion,44,,,,,
11/9/2024,@Norfolk St,83,James Madison,69,,,,,
11/9/2024,@Le Moyne,107,SUNY Poly,73,,,,,
11/9/2024,@UC San Diego,94,Pepperdine,76,,,,,
11/9/2024,UC Santa Barbara,94,@Portland,53,,,,,
11/9/2024,Sam Houston St,91,@Tarleton St,62,,,,,
11/9/2024,@San Francisco,84,Boise St,73,,,,,
11/9/2024,@Southern Utah,80,Florida Intl,75,,,,,
11/9/2024,@Utah Valley,89,UTEP,60,,,,,
11/9/2024,@Merrimack,65,Vermont,51,,,,,
11/9/2024,Youngstown St,80,@Chicago St,60,,,,,
11/9/2024,@LIU Brooklyn,102,Pratt Inst,42,,,,,
11/9/2024,@Tulsa,103,Ark Pine Bluff,80,,,,,
11/9/2024,Louisiana Tech,92,@UT Arlington,77,,,,,
11/9/2024,@Grand Canyon,74,WKU,72,,,,,
11/9/2024,Baylor,72,Arkansas,67,"Dallas,",TX,,,
11/9/2024,@Cal Baptist,88,Kennesaw,84,,,,,
11/9/2024,St Bonaventure,87,@Canisius,78,,,,,
11/9/2024,Rider,64,@Coppin St,53,,,,,
11/9/2024,Auburn,74,Houston,69,"Houston,",TX,,,
11/9/2024,@Kansas St,77,Cleveland St,64,,,,,
11/9/2024,@La Salle,81,Lafayette,60,,,,,
11/9/2024,Tennessee,77,@Louisville,55,,,,,
11/9/2024,@Nebraska,63,Bethune-Cookman,58,,,,,
11/9/2024,@Lipscomb,78,Wofford,69,,,,,
11/9/2024,@Evansville,96,Brescia,49,,,,,
11/9/2024,@Xavier LA,62,Alcorn St,56,,,,,
11/9/2024,@East Carolina,63,Coastal Car,59,,,,,
11/9/2024,@Drexel,73,Colgate,56,,,,,
11/9/2024,MTSU,79,@Abilene Chr,56,,,,,
11/9/2024,@Dayton,71,Northwestern,66,,,,,
11/9/2024,New Mexico St,75,@Utah Tech,63,,,,,
11/9/2024,@Georgetown,69,Fairfield,57,,,,,
11/9/2024,Fordham,57,@Seton Hall,56,,,,,
11/9/2024,@Winthrop,82,Ark Little Rock,67,,,,,
11/9/2024,@Mercyhurst,88,Houghton,62,,,,,
11/9/2024,@High Point,80,Jackson St,71,,,,,
11/9/2024,@Loyola MD,83,Lancaster Bib,42,,,,,
11/9/2024,Marist,79,@Richmond,72,,,,,
11/9/2024,@MD E Shore,96,PSU-Schuylkill,77,,,,,
11/9/2024,Wright St,81,@Miami OH,68,,,,,
11/9/2024,@Nicholls St,93,MS Women,44,,,,,
11/9/2024,@Wichita St,89,Montana St,69,,,,,
11/9/2024,@Minnesota,68,NE Omaha,64,,,,,
11/9/2024,Memphis,80,@UNLV,74,,,,,
11/9/2024,Troy,78,@New Orleans,61,,,,,
11/9/2024,@Providence,76,Stonehill,49,,,,,
11/9/2024,@St John's,96,Quinnipiac,73,,,,,
11/9/2024,@Dartmouth,81,Sacred Heart,76,,,,,
11/9/2024,Toledo,90,@Marshall,80,,,,,
11/9/2024,@Utah St,103,Charlotte,74,,,,,
11/9/2024,VMI,76,@Bellarmine,71,,,,,
11/9/2024,@Wagner,94,Manor,52,,,,,
11/9/2024,@Nevada,63,Washington,53,,,,,
11/9/2024,@Ohio,82,UNC Asheville,76,,,,,
11/9/2024,Liberty,66,@Seattle,64,,,,,
11/9/2024,Florida St,73,Rice,65,"Houston,",TX,,,
11/9/2024,@Connecticut,92,New Hampshire,53,,,,,
11/9/2024,@Kentucky,100,Bucknell,72,,,,,
11/10/2024,Pacific,94,Life Pacific,41,"Honolulu,",HI,,,
11/10/2024,Maine,69,@Brown,67,,,,,
11/10/2024,Princeton,79,@Northeastern,76,,,,,
11/10/2024,@Vanderbilt,85,SE Missouri St,76,,,,,
11/10/2024,@Wyoming,81,Tennessee St,66,,,,,
11/10/2024,@Montana,94,Northwest Indian,44,,,,,
11/10/2024,@South Dakota,77,Mt Marty,47,,,,,
11/10/2024,@Drake,66,SF Austin,51,,,,,
11/10/2024,@Cal Poly,99,Menlo,66,,,,,
11/10/2024,North Florida,105,@Georgia Tech,93,,,,,
11/10/2024,@Indiana,90,E Illinois,55,,,,,
11/10/2024,Wake Forest,72,Michigan,70,"Greensboro,",NC,,,
11/10/2024,@St Louis,95,Avila,44,,,,,
11/10/2024,@Creighton,96,F Dickinson,70,,,,,
11/10/2024,@Detroit,84,Niagara,78,O1,,,,
11/10/2024,@Gonzaga,88,Arizona St,80,,,,,
11/10/2024,@American Univ,67,Harvard,55,,,,,
11/10/2024,@Hawaii,80,San Jose St,69,,,,,
11/10/2024,@Loyola-Chicago,105,Eureka,53,,,,,
11/10/2024,@Robert Morris,79,Chatham,51,,,,,
11/10/2024,St Francis PA,65,@Campbell,64,,,,,
11/10/2024,@Miami FL,88,Binghamton,64,,,,,
11/10/2024,@UAB,82,SE Louisiana,72,,,,,
11/10/2024,@UTRGV,110,Champion Bap,60,,,,,
11/10/2024,@Wisconsin,87,Appalachian St,56,,,,,
11/10/2024,@Oklahoma St,80,St Thomas MN,71,,,,,
11/10/2024,UC Irvine,80,@Northern Iowa,60,,,,,
11/10/2024,@LSU,74,Alabama St,61,,,,,
11/10/2024,@Georgia,92,TX Southern,64,,,,,
11/11/2024,@Howard,91,Dillard,73,,,,,
11/11/2024,San Jose St,93,Life Pacific,56,"Honolulu,",HI,,,
11/11/2024,@Bowling Green,107,Taylor IN,43,,,,,
11/11/2024,@Alabama,72,McNeese St,64,,,,,
11/11/2024,@UMBC,120,Valley Forge,61,,,,,
